trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
45975326-B_2025-BW_A_P4-Sem-Vac-01,16:14:00,16:14:00,Bcsebea3,9,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,16:18:00,16:18:00,Bllnpaf2,10,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,16:20:00,16:20:00,Bllngr04,11,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:47:00,16:47:00,Bblagr03,1,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:50:00,16:50:00,Bblamsj2,2,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:52:00,16:52:00,Bblacco2,3,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:56:00,16:56:00,Bwatmsj8,4,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:56:00,16:56:00,Bwatms09,5,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,16:59:00,16:59:00,Clpalli1,6,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,17:03:00,17:03:00,Cglbras1,7,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,17:05:00,17:05:00,Bgnpchb1,8,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,17:15:00,17:15:00,Bcsebea3,9,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,17:20:00,17:20:00,Bllnpaf2,10,0,0
45975327-B_2025-BW_A_P4-Sem-Vac-01,17:22:00,17:22:00,Bllngr04,11,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:47:00,17:47:00,Bblagr03,1,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:49:00,17:49:00,Bblamsj2,2,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:51:00,17:51:00,Bblacco2,3,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:55:00,17:55:00,Bwatmsj8,4,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:55:00,17:55:00,Bwatms09,5,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,17:58:00,17:58:00,Clpalli1,6,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,18:02:00,18:02:00,Cglbras1,7,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,18:04:00,18:04:00,Bgnpchb1,8,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,18:14:00,18:14:00,Bcsebea3,9,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,18:18:00,18:18:00,Bllnpaf2,10,0,0
45975328-B_2025-BW_A_P4-Sem-Vac-01,18:20:00,18:20:00,Bllngr04,11,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:47:00,18:47:00,Bblagr03,1,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:49:00,18:49:00,Bblamsj2,2,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:51:00,18:51:00,Bblacco2,3,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:55:00,18:55:00,Bwatmsj8,4,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:55:00,18:55:00,Bwatms09,5,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,18:58:00,18:58:00,Clpalli1,6,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,19:02:00,19:02:00,Cglbras1,7,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,19:04:00,19:04:00,Bgnpchb1,8,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,19:14:00,19:14:00,Bcsebea3,9,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,19:18:00,19:18:00,Bllnpaf2,10,0,0
45975329-B_2025-BW_A_P4-Sem-Vac-01,19:20:00,19:20:00,Bllngr04,11,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:47:00,19:47:00,Bblagr03,1,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:49:00,19:49:00,Bblamsj2,2,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:51:00,19:51:00,Bblacco2,3,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:55:00,19:55:00,Bwatmsj8,4,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:55:00,19:55:00,Bwatms09,5,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,19:58:00,19:58:00,Clpalli1,6,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,20:02:00,20:02:00,Cglbras1,7,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,20:04:00,20:04:00,Bgnpchb1,8,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,20:14:00,20:14:00,Bcsebea3,9,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,20:18:00,20:18:00,Bllnpaf2,10,0,0
45975330-B_2025-BW_A_P4-Sem-Vac-01,20:20:00,20:20:00,Bllngr04,11,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:33:00,19:33:00,Bllngr04,1,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:35:00,19:35:00,Bllnpaf1,2,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:40:00,19:40:00,Bcsebea4,3,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:50:00,19:50:00,Bgnpchb1,4,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:52:00,19:52:00,Cglbras2,5,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,19:56:00,19:56:00,Clpalli2,6,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,20:00:00,20:00:00,Bwatms10,7,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,20:02:00,20:02:00,Bblacco1,8,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,20:03:00,20:03:00,Bblamsj1,9,0,0
45975331-B_2025-BW_A_P4-Sem-Vac-01,20:06:00,20:06:00,Bblagr03,10,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:33:00,18:33:00,Bllngr04,1,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:35:00,18:35:00,Bllnpaf1,2,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:40:00,18:40:00,Bcsebea4,3,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:50:00,18:50:00,Bgnpchb1,4,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:52:00,18:52:00,Cglbras2,5,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,18:56:00,18:56:00,Clpalli2,6,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,19:00:00,19:00:00,Bwatms10,7,0,0
45975332-B_2025-BW_A_P4-Sem-Vac-01,19:02:00,19:02:00,Bblacco1,8,0,0
